game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron
game-123,123,"red-hunter-evolution","iron-hyena-pack-pressure",False,33,9,0,3,4,25,5,5,,4,2,2,0,0,0,4,1,3,0,0,0,6,8,6,8,2,0,7,2,14,1,8,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",6,0,14,2,14,13,5,5,0,0,0,0,5,1,3,1,0,0,0,17,0,17,0,17,0,4,0,12,34,49,0,0,1,0,13,6,0,0,3,2
game-124,124,"iron-hyena-pack-pressure","red-hunter-evolution",False,17,5,3,0,4,12,5,5,,2,1,1,0,0,0,3,1,2,0,0,0,2,6,1,6,1,1,0,0,5,4,3,3,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",1,2,4,6,6,5,3,2,0,0,2,0,2,4,2,2,0,0,0,13,0,12,0,12,0,4,0,6,18,28,0,0,1,0,2,1,0,0,1,1
game-125,125,"iron-hyena-pack-pressure","red-hunter-evolution",False,23,6,3,1,4,13,6,9,16,2,1,1,1,0,1,2,0,2,0,0,0,6,6,6,6,1,0,5,0,15,4,7,3,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",0,0,2,2,8,5,5,0,0,0,0,0,4,4,4,2,0,0,0,13,0,13,0,13,0,4,0,6,22,37,0,0,0,0,6,0,0,0,1,1
game-126,126,"iron-hyena-pack-pressure","red-hunter-evolution",False,15,4,3,0,4,5,5,10,,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,1,0,9,4,3,2,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",0,0,2,2,4,5,0,0,0,0,0,0,2,0,2,0,0,0,0,8,0,8,0,8,0,1,0,6,14,24,0,0,0,0,3,2,0,0,1,1
game-127,127,"red-hunter-evolution","iron-hyena-pack-pressure",False,30,8,1,3,4,12,7,5,24,2,0,2,1,0,1,3,1,2,0,0,0,6,6,6,6,1,0,0,0,21,11,7,8,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",3,0,8,2,11,11,7,2,0,0,0,0,0,1,0,1,0,0,0,12,0,12,0,12,0,2,0,10,30,42,0,0,1,0,10,1,1,0,2,2
game-128,128,"iron-hyena-pack-pressure","red-hunter-evolution",False,23,6,3,1,4,7,8,9,19,3,2,1,1,0,1,2,0,2,0,0,0,4,10,4,6,0,1,8,1,14,3,6,2,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",1,1,4,4,7,5,4,1,0,0,1,0,6,4,3,3,0,0,0,12,0,12,0,12,0,4,0,7,22,36,0,0,1,0,4,0,1,0,1,1
game-129,129,"iron-hyena-pack-pressure","red-hunter-evolution",False,23,6,3,0,4,13,6,10,,3,1,2,0,0,0,3,1,2,0,0,0,4,6,4,4,0,1,6,1,15,6,6,4,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,0,6,2,8,5,1,0,0,0,0,0,6,0,6,0,0,0,0,13,0,12,0,12,0,3,0,6,22,36,0,0,2,0,4,0,0,0,1,1
game-130,130,"iron-hyena-pack-pressure","red-hunter-evolution",False,34,9,3,2,4,5,5,9,,5,1,4,0,0,0,3,2,1,0,0,0,12,4,12,4,1,2,3,2,26,9,11,6,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",3,1,8,4,13,14,7,4,0,0,2,0,5,2,5,1,0,1,0,21,0,19,0,19,0,1,0,11,34,53,0,0,3,0,10,2,0,0,3,2
game-131,131,"red-hunter-evolution","iron-hyena-pack-pressure",False,32,8,2,3,4,5,5,11,22,5,3,2,1,0,1,2,1,1,0,0,0,6,2,6,2,2,2,9,0,23,17,9,11,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",3,0,8,2,12,13,6,0,0,0,0,0,4,1,4,0,0,1,0,18,0,18,0,18,0,1,0,13,32,50,0,0,3,0,11,1,0,0,3,2
game-132,132,"iron-hyena-pack-pressure","red-hunter-evolution",False,29,8,3,1,4,10,5,5,16,2,1,1,1,0,1,2,1,1,0,0,0,6,2,6,2,0,1,2,1,28,11,12,8,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,2,6,6,11,12,3,1,0,0,1,0,7,2,6,1,0,0,0,14,0,14,0,14,0,1,0,10,28,44,0,0,3,0,4,0,0,0,2,2
