game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron,first_shrine_damage_turn_red,first_shrine_damage_turn_iron,wins_in_odd_phase,winner_was_first_player_in_final_phase,shrine_damage_dealt_during_double_turn_red,shrine_damage_dealt_during_double_turn_iron
game-123,123,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,12,3,3,2,3,5,5,12,,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,3,0,0,0,0,0,0,2,3,1,0,1,3,8,11,8,11,8,11,0,2,5,5,20,23,0,0,0,0,0,0,0,0,0,0,4,3,1,0,11,20
game-124,124,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,13,4,3,2,3,7,5,5,,1,0,1,0,0,0,1,0,1,0,0,0,2,4,2,3,0,0,2,0,0,5,0,3,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,4,0,0,0,0,0,0,6,3,0,0,2,2,5,12,5,12,5,12,2,7,5,6,17,26,0,0,0,0,0,0,0,0,0,0,4,3,0,1,11,20
game-125,125,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,13,4,3,1,3,5,5,7,,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,4,1,0,0,0,0,7,0,4,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,3,0,0,3,13,3,11,3,11,0,3,2,5,15,25,0,0,0,0,0,2,0,0,0,0,4,3,0,1,1,27
game-126,126,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,15,4,3,2,3,7,5,6,,2,0,2,0,0,0,2,0,2,0,0,0,4,4,4,4,0,0,1,0,0,3,0,2,0,0,"","iron.ancestor.smithpassedfang",0,1,0,4,0,5,0,0,0,0,1,0,12,3,2,2,3,1,6,8,6,8,6,8,2,3,6,4,20,24,0,0,0,0,1,1,0,0,0,1,4,3,0,1,5,23
game-127,127,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,11,3,2,3,3,5,5,6,,1,0,1,0,0,0,1,0,1,0,0,0,4,4,3,4,0,0,0,0,0,1,0,1,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,2,0,0,0,0,0,0,4,5,0,2,4,3,10,4,10,4,10,4,4,0,5,4,22,14,0,0,0,0,0,1,0,0,0,0,4,3,1,1,13,12
game-128,128,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,14,4,2,3,3,7,5,5,,2,0,2,0,0,0,2,0,2,0,0,0,4,6,4,6,0,0,0,0,0,1,0,1,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,4,0,0,0,0,0,0,2,13,0,3,2,3,11,10,11,9,11,9,4,6,6,5,25,23,0,0,0,0,2,0,2,0,0,0,4,3,0,0,14,16
game-129,129,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,12,3,3,1,4,7,5,5,,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,3,1,0,0,0,0,2,0,2,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,3,0,0,0,0,0,0,4,7,1,0,1,4,3,10,3,10,3,10,1,5,2,5,15,22,0,0,0,0,0,0,0,0,0,0,4,6,1,0,6,18
game-130,130,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,11,3,2,3,3,5,5,9,,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,2,0,0,0,0,0,0,1,8,1,0,0,4,9,7,9,7,9,7,1,1,5,4,21,17,0,0,0,0,0,0,0,0,0,0,4,3,1,1,18,13
game-131,131,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,13,4,3,2,3,5,5,7,,1,0,1,0,0,0,1,0,1,0,0,0,2,4,2,4,0,0,0,0,0,6,0,4,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,4,0,0,0,0,0,0,11,1,3,0,4,1,5,8,5,8,5,8,4,1,2,6,17,22,0,0,0,0,2,1,0,0,0,0,4,3,0,1,7,24
game-132,132,"iron-hyena-pack-pressure","iron-hyena-pack-pressure",False,17,5,2,3,3,7,10,5,,2,0,2,0,0,0,2,0,2,0,0,0,6,6,4,6,2,0,0,1,0,4,0,3,0,0,"","iron.ancestor.firstpack",0,1,0,4,0,3,0,0,0,0,0,0,5,3,2,2,3,1,12,10,12,10,12,10,4,4,8,7,30,26,1,0,0,0,0,2,0,0,1,1,4,3,1,1,15,11
