game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron,first_shrine_damage_turn_red,first_shrine_damage_turn_iron,wins_in_odd_phase,winner_was_first_player_in_final_phase,shrine_damage_dealt_during_double_turn_red,shrine_damage_dealt_during_double_turn_iron
game-123,123,"iron-hyena-pack-pressure","red-hunter-evolution",False,13,3,1,3,3,5,7,7,,1,0,1,0,0,0,1,0,1,0,0,0,4,2,2,2,0,0,0,0,0,3,0,2,0,0,"","red.ancestor.firsthunter",0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,1,0,5,0,22,12,0,0,0,1,0,1,0,0,0,0,9,3,1,1,12,0
game-124,124,"iron-hyena-pack-pressure","red-hunter-evolution",False,24,4,2,3,3,8,7,10,,2,0,2,0,0,0,2,2,0,0,0,0,6,0,6,0,0,0,0,6,0,11,0,5,0,0,"","red.ancestor.firsthunter",0,0,0,2,0,8,7,0,0,0,0,0,3,12,2,6,0,0,12,0,12,0,12,0,4,0,9,0,36,24,0,0,0,1,1,3,0,0,1,2,18,3,0,0,13,14
game-125,125,"red-hunter-evolution","iron-hyena-pack-pressure",False,18,3,3,1,3,11,6,9,,1,0,1,0,0,0,2,2,0,0,0,0,4,0,4,0,1,0,0,4,0,5,0,3,0,0,"","red.ancestor.firsthunter",0,0,0,2,0,6,5,0,0,0,0,0,3,4,1,2,0,0,7,0,7,0,7,0,3,0,4,0,25,18,0,0,0,0,0,1,0,1,1,1,7,3,1,0,10,15
game-126,126,"red-hunter-evolution","iron-hyena-pack-pressure",False,28,5,3,1,3,13,6,14,19,2,2,0,0,0,0,3,1,2,1,0,1,0,8,0,6,0,0,3,2,0,15,0,7,0,0,"","red.ancestor.firsthunter",0,3,0,8,0,11,5,0,1,0,0,0,0,0,0,0,0,0,13,0,13,0,13,0,0,0,10,0,41,28,0,0,0,2,3,16,0,0,2,2,16,3,1,0,7,6
game-127,127,"red-hunter-evolution","iron-hyena-pack-pressure",False,23,4,3,2,3,12,6,5,23,1,0,1,0,0,0,2,2,0,1,0,1,4,2,3,1,0,1,0,5,0,5,0,4,0,0,"","red.ancestor.grandmother",0,1,0,4,0,9,4,4,0,0,0,0,1,6,1,5,0,0,9,0,9,0,9,0,1,0,8,0,31,24,0,0,0,1,0,2,0,0,1,2,9,3,0,1,16,10
game-128,128,"iron-hyena-pack-pressure","red-hunter-evolution",False,25,5,1,3,3,13,6,11,,2,0,2,0,0,0,3,2,1,0,0,0,4,2,3,2,0,1,0,6,0,13,0,6,0,0,"","red.ancestor.grandmother",0,2,0,6,0,9,3,3,1,0,0,0,4,7,2,6,0,0,15,0,15,0,15,0,5,0,11,0,41,24,0,0,0,0,2,7,0,2,2,1,18,3,1,1,18,8
game-129,129,"iron-hyena-pack-pressure","red-hunter-evolution",False,22,4,1,3,5,10,9,12,,1,0,1,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,7,0,19,0,6,0,0,"","red.ancestor.firsthunter",0,2,0,6,0,6,1,1,0,0,0,0,0,6,0,5,0,0,9,0,9,0,9,0,1,0,5,0,31,22,0,0,0,1,0,3,0,0,1,1,7,5,0,0,14,8
game-130,130,"iron-hyena-pack-pressure","red-hunter-evolution",False,39,7,1,3,3,13,6,9,,4,2,2,0,0,0,5,4,1,0,0,0,4,2,4,2,1,3,1,1,0,24,0,12,0,0,"","red.ancestor.firsthunter",0,8,0,18,0,16,1,6,0,0,0,0,2,10,1,8,1,0,27,0,26,0,26,0,7,0,15,0,66,38,0,0,0,3,4,10,1,0,3,3,21,3,1,1,14,4
game-131,131,"iron-hyena-pack-pressure","red-hunter-evolution",False,24,4,0,3,3,13,6,9,,1,0,1,0,0,0,4,2,2,0,0,0,4,6,4,6,0,2,0,1,0,18,0,7,0,0,"","red.ancestor.firsthunter",0,2,0,6,0,9,0,2,0,0,0,0,0,4,0,4,0,0,12,0,12,0,12,0,4,0,7,0,36,24,0,0,0,2,0,2,0,0,1,1,,3,0,0,10,0
game-132,132,"red-hunter-evolution","iron-hyena-pack-pressure",False,23,4,3,1,3,11,6,9,14,2,0,2,0,0,0,2,1,1,1,0,1,4,4,4,4,0,1,1,2,0,2,0,1,0,0,"","red.ancestor.firsthunter",0,0,0,2,0,9,6,0,0,0,0,0,1,7,1,6,0,0,8,0,8,0,8,0,1,0,7,0,30,24,0,0,0,2,0,8,0,1,1,2,7,3,0,1,6,12
