game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron,first_shrine_damage_turn_red,first_shrine_damage_turn_iron,wins_in_odd_phase,winner_was_first_player_in_final_phase,shrine_damage_dealt_during_double_turn_red,shrine_damage_dealt_during_double_turn_iron
game-123,123,"red-hunter-evolution","iron-hyena-pack-pressure",False,25,5,0,3,4,15,8,6,,2,2,0,0,0,0,2,1,1,0,0,0,0,2,0,2,0,0,7,1,16,0,8,0,0,0,"red.ancestor.grandmother","",3,0,8,0,9,0,7,2,0,0,0,0,1,0,1,0,0,0,0,8,0,8,0,8,0,1,0,7,26,32,0,0,1,0,7,0,0,0,2,1,4,13,1,1,16,6
game-124,124,"iron-hyena-pack-pressure","red-hunter-evolution",False,14,3,3,0,4,7,5,6,,1,1,0,0,0,0,2,0,2,0,0,0,0,4,0,4,0,0,0,0,10,4,4,3,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,1,6,4,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,9,0,9,0,9,0,2,0,6,14,23,0,0,1,0,0,1,0,0,1,0,4,,1,0,0,13
game-125,125,"iron-hyena-pack-pressure","red-hunter-evolution",False,31,6,3,2,4,13,8,10,15,3,2,1,1,0,1,2,1,1,0,0,0,4,2,4,2,2,1,7,1,24,15,10,9,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,0,6,2,11,11,4,2,0,0,0,0,12,0,8,0,0,0,0,18,0,18,0,18,0,3,0,9,30,50,0,0,2,0,7,1,0,0,2,2,4,5,0,1,12,22
game-126,126,"red-hunter-evolution","iron-hyena-pack-pressure",False,37,7,1,3,4,7,6,9,20,4,1,3,1,0,1,4,2,2,0,0,0,14,6,12,6,2,1,4,4,24,17,9,12,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,0,6,2,15,15,9,1,0,0,0,0,1,2,1,2,0,0,0,22,0,22,0,22,0,7,0,13,38,58,0,1,0,0,13,1,0,0,3,2,4,15,1,1,15,14
game-127,127,"iron-hyena-pack-pressure","red-hunter-evolution",False,28,5,3,1,4,9,7,9,27,2,0,2,1,0,1,3,1,2,0,0,0,8,8,8,4,1,0,0,1,29,15,10,8,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",3,0,8,2,10,10,1,2,0,0,0,0,2,0,2,0,0,0,0,17,0,17,0,17,0,2,0,10,28,45,0,0,1,0,7,2,0,0,2,2,4,25,1,0,7,10
game-128,128,"red-hunter-evolution","iron-hyena-pack-pressure",False,25,5,2,3,4,7,8,9,,4,2,2,0,0,0,3,0,3,0,0,0,4,6,3,6,2,0,6,2,4,5,3,4,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,2,6,6,9,5,3,3,0,0,0,0,6,4,5,2,0,0,0,13,0,13,0,13,0,4,0,8,26,37,0,0,0,0,4,1,2,0,2,1,4,15,1,1,16,18
game-129,129,"iron-hyena-pack-pressure","red-hunter-evolution",False,16,3,3,1,4,7,8,9,,1,1,0,0,0,0,2,0,2,0,0,0,0,6,0,6,0,1,5,0,6,1,4,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,0,6,2,4,2,1,0,0,0,0,0,2,0,2,0,0,0,0,8,0,8,0,8,0,2,0,5,16,24,0,0,2,0,0,0,0,0,1,1,4,5,1,0,5,7
game-130,130,"iron-hyena-pack-pressure","red-hunter-evolution",False,21,4,3,1,4,7,8,11,17,2,1,1,1,0,1,2,1,1,0,0,0,4,2,4,2,0,1,8,2,13,7,6,5,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,0,6,2,6,6,2,1,0,0,0,0,6,0,6,0,0,0,0,17,0,16,0,16,0,5,0,8,20,38,0,0,2,0,4,0,0,0,1,1,4,15,0,1,0,14
game-131,131,"red-hunter-evolution","iron-hyena-pack-pressure",False,22,4,1,3,4,15,7,12,15,2,2,0,1,0,1,1,1,0,0,0,0,2,0,2,0,0,0,7,3,12,8,5,5,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",1,0,4,2,7,7,6,1,0,0,0,0,10,0,8,0,0,0,0,7,0,7,0,7,0,0,0,6,22,29,0,0,2,0,7,0,0,0,1,1,4,13,0,0,6,8
game-132,132,"red-hunter-evolution","iron-hyena-pack-pressure",False,20,4,2,3,4,7,5,6,17,2,1,1,1,0,1,1,0,1,0,0,0,4,2,3,2,0,0,2,0,13,2,7,2,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,1,6,4,7,6,3,1,0,0,3,0,3,0,2,0,0,0,0,7,0,7,0,7,0,1,0,7,20,27,0,0,0,0,5,0,0,0,1,1,4,12,0,0,14,10
