game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron,first_shrine_damage_turn_red,first_shrine_damage_turn_iron,wins_in_odd_phase,winner_was_first_player_in_final_phase,shrine_damage_dealt_during_double_turn_red,shrine_damage_dealt_during_double_turn_iron
game-123,123,"iron-hyena-pack-pressure","red-hunter-evolution",False,24,1,3,1,4,14,7,6,19,2,2,0,1,0,1,1,0,1,0,0,0,2,2,2,2,0,0,6,0,23,10,8,6,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",0,0,2,2,8,6,3,0,0,0,0,0,8,1,6,1,0,0,0,12,0,12,0,12,0,3,0,8,24,36,0,0,0,0,4,0,0,0,1,1,4,17,1,0,0,0
game-124,124,"iron-hyena-pack-pressure","red-hunter-evolution",False,14,1,3,0,4,9,5,6,,1,1,0,0,0,0,2,0,2,0,0,0,0,4,0,4,0,0,0,1,10,5,4,3,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,0,6,2,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,8,0,8,0,8,0,2,0,6,14,22,0,0,1,0,0,1,0,0,1,0,4,,1,0,0,0
game-125,125,"red-hunter-evolution","iron-hyena-pack-pressure",False,21,1,0,3,4,13,7,9,,2,1,1,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,5,2,8,2,5,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",3,0,8,2,7,3,4,2,0,0,0,0,8,0,5,0,0,0,0,7,0,7,0,7,0,0,0,5,22,27,0,0,1,0,5,0,0,0,1,1,4,5,1,1,0,0
game-126,126,"red-hunter-evolution","iron-hyena-pack-pressure",False,25,1,0,3,4,17,6,13,21,3,2,1,1,0,1,1,1,0,0,0,0,6,0,4,0,0,0,3,2,15,2,7,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",0,0,2,2,9,9,6,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,0,7,0,0,0,5,26,31,0,0,1,0,7,0,0,0,2,1,4,15,1,1,0,0
game-127,127,"red-hunter-evolution","iron-hyena-pack-pressure",False,37,1,0,3,4,27,7,10,27,4,0,4,1,0,1,3,1,2,0,0,0,14,4,14,4,1,0,1,3,38,2,14,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",4,0,10,2,15,14,5,2,1,0,0,0,0,1,0,1,0,0,0,13,0,13,0,13,0,2,0,11,38,49,0,0,2,0,15,0,0,0,4,2,4,19,1,1,0,0
game-128,128,"iron-hyena-pack-pressure","red-hunter-evolution",False,22,1,3,2,4,12,7,9,,2,2,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,5,0,8,2,4,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",0,0,2,2,7,4,5,0,0,0,0,0,6,1,6,1,0,0,0,12,0,12,0,12,0,1,0,7,22,34,0,0,1,0,3,3,0,0,1,1,4,11,1,0,0,0
game-129,129,"red-hunter-evolution","iron-hyena-pack-pressure",False,41,1,1,3,4,10,7,11,35,6,2,4,1,0,1,4,0,4,0,0,0,16,8,14,8,2,0,5,2,35,19,16,13,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",5,0,12,2,17,15,7,4,0,0,0,0,7,2,7,2,0,0,0,21,0,21,0,21,0,4,0,16,42,61,0,0,3,0,14,1,2,0,4,3,4,5,1,1,0,0
game-130,130,"red-hunter-evolution","iron-hyena-pack-pressure",False,31,1,2,3,4,8,7,13,17,4,3,1,1,0,1,2,2,0,0,0,0,4,0,3,0,1,2,7,1,28,12,10,8,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",2,2,6,6,12,11,5,3,0,0,1,0,9,0,9,0,0,0,0,12,0,12,0,12,0,0,0,8,32,42,0,1,2,0,8,0,0,0,3,2,4,15,1,1,0,0
game-131,131,"red-hunter-evolution","iron-hyena-pack-pressure",False,21,1,1,3,4,15,7,11,17,2,2,0,1,0,1,1,0,1,0,0,0,2,2,2,2,0,1,7,0,18,2,7,1,0,0,"red.ancestor.firsthunter","iron.ancestor.firstpack",1,0,4,2,7,3,4,0,0,0,0,0,4,0,3,0,0,0,0,5,0,5,0,5,0,1,0,5,22,25,0,0,2,0,1,1,0,0,1,1,4,13,1,1,0,0
game-132,132,"red-hunter-evolution","iron-hyena-pack-pressure",False,19,1,0,3,4,13,5,6,17,2,1,1,1,0,1,1,0,1,0,0,0,4,2,3,2,0,0,2,0,10,0,5,0,0,0,"red.ancestor.firsthunter","",2,0,6,0,7,0,3,1,0,0,0,0,6,0,4,0,0,0,0,4,0,4,0,4,0,1,0,4,20,22,0,0,1,0,2,0,0,0,1,1,4,11,1,1,0,0
